,FGM_0,FGM_1,FGA_0,FGA_1,FG_PCT_0,FG_PCT_1,FG3M_0,FG3M_1,FG3A_0,FG3A_1,FG3_PCT_0,FG3_PCT_1,FTM_0,FTM_1,FTA_0,FTA_1,FT_PCT_0,FT_PCT_1,OREB_0,OREB_1,DREB_0,DREB_1,REB_0,REB_1,AST_0,AST_1,STL_0,STL_1,BLK_0,BLK_1,TO_0,TO_1,PF_0,PF_1,PTS_0,PTS_1,PLUS_MINUS_0,PLUS_MINUS_1,OFF_RATING_0,OFF_RATING_1,DEF_RATING_0,DEF_RATING_1,NET_RATING_0,NET_RATING_1,AST_PCT_0,AST_PCT_1,AST_TOV_0,AST_TOV_1,AST_RATIO_0,AST_RATIO_1,OREB_PCT_0,OREB_PCT_1,DREB_PCT_0,DREB_PCT_1,REB_PCT_0,REB_PCT_1,TM_TOV_PCT_0,TM_TOV_PCT_1,EFG_PCT_0,EFG_PCT_1,TS_PCT_0,TS_PCT_1,USG_PCT_0,USG_PCT_1,PACE_0,PACE_1,PIE_0,PIE_1,HOME_0,HOME_1,WIN_PCT_0,WIN_PCT_1,WINNER
25,37.333333333333336,37.666666666666664,81.86666666666666,84.13333333333334,0.45766666666666667,0.4479333333333333,10.333333333333334,8.666666666666666,28.066666666666666,25.466666666666665,0.3667333333333333,0.33653333333333335,17.266666666666666,17.866666666666667,24.133333333333333,22.066666666666666,0.7144666666666666,0.8191333333333336,10.2,8.533333333333333,35.46666666666667,33.53333333333333,45.666666666666664,42.06666666666667,23.0,21.8,5.933333333333334,6.666666666666667,4.2,5.066666666666666,14.666666666666666,13.466666666666667,20.0,22.866666666666667,102.26666666666667,101.86666666666666,4.066666666666666,-5.6,105.51333333333334,102.63333333333335,101.85333333333334,108.13333333333334,3.653333333333334,-5.493333333333333,0.6087999999999999,0.5793333333333334,1.6386666666666663,1.746666666666667,17.533333333333335,16.813333333333333,0.24946666666666667,0.18953333333333333,0.7986666666666665,0.7757333333333334,0.5328,0.4801999999999999,15.38933333333333,13.898066666666667,0.521,0.49939999999999996,0.5543333333333333,0.5427333333333333,0.1992,0.19933333333333333,95.69800000000001,99.27199999999999,0.5236666666666667,0.462,0,1,0.7333333333333333,0.26666666666666666,1
26,33.86666666666667,36.266666666666666,82.26666666666667,84.33333333333333,0.41313333333333335,0.4315333333333333,9.133333333333333,7.533333333333333,28.066666666666666,22.466666666666665,0.3181999999999999,0.3364,14.4,16.8,21.2,21.666666666666668,0.6842666666666666,0.7893333333333333,9.266666666666667,10.866666666666667,33.333333333333336,32.53333333333333,42.6,43.4,18.8,22.133333333333333,8.866666666666667,7.4,7.4,4.6,17.533333333333335,14.533333333333333,21.733333333333334,19.866666666666667,91.26666666666667,96.86666666666666,-10.333333333333334,-6.933333333333334,90.73333333333333,98.76,100.8,105.78666666666665,-10.066666666666668,-7.026666666666666,0.551,0.6084,1.104,1.732,14.459999999999999,16.793333333333333,0.199,0.24253333333333332,0.7502000000000001,0.7697333333333334,0.46886666666666665,0.49979999999999997,18.407333333333334,15.576266666666665,0.4691333333333334,0.4768666666666667,0.4998666666666667,0.5173999999999999,0.19786666666666666,0.1984666666666667,101.03866666666666,98.23866666666667,0.4214,0.4478666666666667,1,0,0.06666666666666667,0.3333333333333333,1
27,42.46666666666667,35.2,85.4,81.13333333333334,0.49853333333333333,0.4336666666666667,14.066666666666666,7.933333333333334,31.933333333333334,23.133333333333333,0.44573333333333326,0.32813333333333333,15.533333333333333,19.933333333333334,20.333333333333332,24.866666666666667,0.7637333333333334,0.7966666666666667,11.0,10.466666666666667,34.266666666666666,33.2,45.266666666666666,43.666666666666664,29.866666666666667,17.666666666666668,8.6,8.333333333333334,6.466666666666667,4.333333333333333,17.0,12.666666666666666,21.2,18.4,114.53333333333333,98.26666666666667,13.6,1.6666666666666667,113.66000000000001,103.13333333333331,98.58,101.27333333333334,15.066666666666665,1.8599999999999999,0.7011333333333333,0.5042000000000001,1.8493333333333333,1.5173333333333334,20.939999999999994,14.226666666666667,0.2686666666666666,0.2464,0.7424666666666667,0.7704,0.5194666666666666,0.5103333333333333,17.30326666666667,14.342666666666668,0.5816000000000001,0.48253333333333337,0.6083333333333333,0.5334666666666666,0.19899999999999998,0.19806666666666667,100.936,95.30266666666667,0.5825333333333333,0.511,0,1,1.0,0.4666666666666667,0
28,36.13333333333333,37.13333333333333,80.13333333333334,82.4,0.45080000000000003,0.45226666666666665,5.6,10.466666666666667,19.266666666666666,28.8,0.29399999999999993,0.36266666666666664,18.2,17.6,25.866666666666667,24.4,0.7021999999999999,0.72,10.4,10.533333333333333,34.4,35.13333333333333,44.8,45.666666666666664,19.266666666666666,22.333333333333332,7.133333333333334,6.133333333333334,7.666666666666667,3.6666666666666665,13.2,14.533333333333333,17.733333333333334,20.466666666666665,96.06666666666666,102.33333333333333,4.133333333333334,3.2,101.08,105.38000000000001,94.49333333333334,102.6,6.613333333333333,2.7800000000000002,0.5330666666666666,0.5951333333333332,1.5613333333333335,1.6079999999999997,15.373333333333333,17.05333333333333,0.23673333333333335,0.2531333333333333,0.7730000000000001,0.7945333333333332,0.5075333333333333,0.5291333333333333,14.599933333333333,15.22873333333333,0.4855333333333333,0.5160666666666667,0.5246666666666667,0.5507333333333334,0.1986,0.1992,96.192,95.232,0.5514,0.5151333333333333,1,0,0.6666666666666666,0.6666666666666666,0
29,38.2,36.86666666666667,84.06666666666666,87.46666666666667,0.4542,0.42279999999999995,9.333333333333334,8.4,26.266666666666666,22.133333333333333,0.354,0.37666666666666665,18.333333333333332,16.866666666666667,23.866666666666667,22.2,0.7863333333333332,0.7496666666666666,7.933333333333334,10.0,34.4,38.2,42.333333333333336,48.2,21.266666666666666,22.733333333333334,7.466666666666667,6.4,6.066666666666666,5.8,11.733333333333333,13.333333333333334,17.533333333333335,19.733333333333334,104.06666666666666,99.0,4.066666666666666,1.0666666666666667,105.29333333333335,97.91999999999997,100.0,97.31333333333332,5.293333333333333,0.62,0.5608,0.6192000000000001,1.9866666666666668,1.8093333333333332,16.54,16.953333333333333,0.18126666666666666,0.21206666666666668,0.7805999999999998,0.7490666666666667,0.4818,0.49139999999999995,12.219133333333335,13.850466666666666,0.5100666666666667,0.4709333333333333,0.5507333333333334,0.5109333333333335,0.1992,0.19846666666666668,98.56533333333333,99.79866666666665,0.5230666666666667,0.5142666666666666,0,1,0.6666666666666666,0.6666666666666666,0
30,35.8,38.46666666666667,83.8,85.46666666666667,0.42826666666666663,0.4514666666666666,10.0,8.533333333333333,30.333333333333332,23.066666666666666,0.33646666666666664,0.37600000000000006,21.466666666666665,18.933333333333334,29.266666666666666,25.0,0.7194666666666666,0.7484,12.2,11.0,32.4,33.6,44.6,44.6,19.866666666666667,24.133333333333333,9.866666666666667,8.066666666666666,5.866666666666666,4.0,16.066666666666666,16.333333333333332,22.533333333333335,19.933333333333334,103.06666666666666,104.4,-3.2666666666666666,-3.2666666666666666,102.28000000000003,102.07333333333335,105.83333333333331,106.14666666666666,-3.5666666666666673,-4.073333333333333,0.5601333333333334,0.6317333333333333,1.390666666666667,1.4813333333333332,14.920000000000003,17.493333333333336,0.2661333333333334,0.24586666666666665,0.7323999999999999,0.7548666666666665,0.49540000000000006,0.5032,16.2846,16.5932,0.4882666666666667,0.5016666666666667,0.5345333333333333,0.5424,0.19920000000000002,0.19866666666666669,99.46933333333331,101.22666666666666,0.4658666666666666,0.48239999999999994,1,0,0.4666666666666667,0.4,0
31,37.0,37.46666666666667,83.2,85.2,0.4462666666666666,0.44186666666666674,5.733333333333333,9.6,16.8,26.6,0.34006666666666674,0.35259999999999997,20.6,17.266666666666666,25.6,22.533333333333335,0.8142666666666668,0.7677999999999999,10.133333333333333,11.6,35.0,34.333333333333336,45.13333333333333,45.93333333333333,20.0,21.466666666666665,7.2,6.2,5.0,4.133333333333334,14.8,14.333333333333334,22.133333333333333,21.533333333333335,100.33333333333333,101.8,-1.3333333333333333,-1.2666666666666666,100.69999999999999,103.78666666666668,102.18666666666667,105.9,-1.5,-2.1066666666666674,0.5413333333333333,0.5689333333333334,1.3299999999999998,1.621333333333333,15.333333333333334,16.293333333333333,0.23979999999999996,0.2625999999999999,0.7962666666666668,0.7584666666666667,0.5224,0.5126666666666666,15.554466666666666,15.124,0.4808666666666666,0.4984,0.5334666666666668,0.5377333333333333,0.19866666666666669,0.19886666666666664,98.42199999999998,96.62266666666666,0.5035333333333333,0.47586666666666666,1,0,0.4,0.3333333333333333,1
32,35.53333333333333,35.93333333333333,84.13333333333334,80.66666666666667,0.42293333333333344,0.4454666666666667,7.533333333333333,6.8,22.266666666666666,18.866666666666667,0.3336666666666667,0.36106666666666676,17.466666666666665,15.6,21.4,20.133333333333333,0.8138000000000001,0.7765333333333334,10.533333333333333,9.6,34.53333333333333,30.733333333333334,45.06666666666667,40.333333333333336,19.533333333333335,22.6,5.866666666666666,8.0,6.0,5.0,13.066666666666666,15.066666666666666,21.4,22.8,96.06666666666666,94.26666666666667,-0.4,-7.533333333333333,98.79333333333331,98.81999999999998,101.2466666666667,105.80666666666667,-2.4733333333333336,-6.980000000000001,0.5513333333333333,0.63,1.4813333333333332,1.562,15.286666666666667,17.653333333333332,0.24453333333333332,0.22446666666666665,0.7420666666666667,0.7242,0.5056666666666667,0.4703333333333334,14.612133333333334,16.340666666666667,0.46840000000000004,0.48779999999999996,0.5143333333333333,0.5268666666666667,0.19773333333333332,0.19893333333333332,95.69733333333333,94.702,0.4998666666666666,0.4596,0,1,0.5333333333333333,0.3333333333333333,1
33,38.93333333333333,38.86666666666667,88.06666666666666,83.26666666666667,0.44293333333333323,0.4678666666666666,9.533333333333333,7.466666666666667,28.733333333333334,19.6,0.33153333333333335,0.3864666666666667,15.933333333333334,13.533333333333333,20.666666666666668,17.8,0.7753333333333333,0.7512666666666664,12.0,9.4,31.866666666666667,36.86666666666667,43.86666666666667,46.266666666666666,25.066666666666666,25.733333333333334,11.733333333333333,8.8,4.466666666666667,6.8,15.333333333333334,13.0,21.4,16.733333333333334,103.33333333333333,98.73333333333333,6.733333333333333,11.4,102.46666666666667,103.83333333333333,96.36666666666666,91.80666666666666,6.093333333333334,12.006666666666666,0.6402,0.6606666666666668,1.6520000000000001,2.17,18.066666666666666,19.666666666666668,0.26520000000000005,0.22253333333333333,0.7542666666666668,0.8082666666666667,0.5009333333333333,0.5277333333333334,15.594066666666665,14.055533333333333,0.4969333333333334,0.5132,0.5329999999999999,0.5433333333333332,0.1992,0.19920000000000002,100.66799999999999,95.09599999999999,0.5416000000000001,0.5869333333333333,0,1,0.6666666666666666,0.8666666666666667,1
34,35.53333333333333,38.0,80.93333333333334,85.0,0.44020000000000004,0.44753333333333334,7.733333333333333,9.666666666666666,21.266666666666666,23.666666666666668,0.3624,0.4011333333333333,17.466666666666665,18.666666666666668,23.6,25.266666666666666,0.7428000000000001,0.7398,11.6,11.2,30.466666666666665,34.0,42.06666666666667,45.2,18.0,21.266666666666666,9.333333333333334,9.0,5.533333333333333,4.4,15.333333333333334,14.2,21.866666666666667,18.333333333333332,96.26666666666667,104.33333333333333,0.0,9.133333333333333,100.68666666666667,104.8,101.7,95.96,-0.9999999999999999,8.826666666666664,0.5062666666666668,0.5579999999999999,1.1960000000000002,1.5473333333333334,14.260000000000002,16.080000000000002,0.2770666666666667,0.24646666666666664,0.7621999999999999,0.7582000000000001,0.5164666666666666,0.5036666666666667,16.7428,14.605933333333333,0.4887333333333333,0.5045333333333334,0.5294000000000001,0.5435333333333333,0.19866666666666666,0.1992,95.21466666666667,99.51333333333334,0.4931999999999999,0.5628666666666666,1,0,0.4666666666666667,0.8,0
