Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
2015-10-27,8:00 pm,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,19187,
2015-10-27,8:00 pm,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,21957,
2015-10-27,10:30 pm,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,19596,
2015-10-28,7:30 pm,Utah Jazz,87,Detroit Pistons,92,Box Score,,18434,
2015-10-28,8:00 pm,Denver Nuggets,105,Houston Rockets,85,Box Score,,18240,
2015-10-28,7:30 pm,Charlotte Hornets,94,Miami Heat,104,Box Score,,19724,
2015-10-28,7:30 pm,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,18624,
2015-10-28,10:30 pm,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,18997,
2015-10-28,8:00 pm,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,18119,
2015-10-28,7:30 pm,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,17732,
2015-10-28,8:00 pm,New York Knicks,122,Milwaukee Bucks,97,Box Score,,18717,
2015-10-28,8:00 pm,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,18203,
2015-10-28,10:00 pm,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,17458,
2015-10-28,7:30 pm,Indiana Pacers,99,Toronto Raptors,106,Box Score,,19800,
2015-10-28,7:00 pm,Washington Wizards,88,Orlando Magic,87,Box Score,,18846,
2015-10-28,10:00 pm,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,18055,
2015-10-28,10:00 pm,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,19393,
2015-10-29,7:00 pm,Memphis Grizzlies,112,Indiana Pacers,103,Box Score,,18165,
2015-10-29,10:30 pm,Dallas Mavericks,88,Los Angeles Clippers,104,Box Score,,19218,
2015-10-29,8:00 pm,Atlanta Hawks,112,New York Knicks,101,Box Score,,19812,
2015-10-30,7:00 pm,Miami Heat,92,Cleveland Cavaliers,102,Box Score,,20562,
2015-10-30,7:30 pm,Chicago Bulls,94,Detroit Pistons,98,Box Score,OT,16035,
2015-10-30,8:00 pm,Charlotte Hornets,94,Atlanta Hawks,97,Box Score,,17024,
2015-10-30,9:30 pm,Golden State Warriors,112,Houston Rockets,92,Box Score,,18142,
2015-10-30,7:30 pm,Toronto Raptors,113,Boston Celtics,103,Box Score,,16898,
2015-10-30,9:00 pm,Minnesota Timberwolves,95,Denver Nuggets,78,Box Score,,17660,
2015-10-30,10:30 pm,Portland Trail Blazers,92,Phoenix Suns,110,Box Score,,18055,
2015-10-30,10:00 pm,Los Angeles Lakers,114,Sacramento Kings,132,Box Score,,17391,
2015-10-30,8:30 pm,Brooklyn Nets,75,San Antonio Spurs,102,Box Score,,18418,
2015-10-30,8:00 pm,Washington Wizards,118,Milwaukee Bucks,113,Box Score,,13858,
2015-10-30,7:00 pm,Oklahoma City Thunder,139,Orlando Magic,136,Box Score,2OT,18846,
2015-10-30,7:00 pm,Utah Jazz,99,Philadelphia 76ers,71,Box Score,,17122,
2015-10-31,7:00 pm,Utah Jazz,97,Indiana Pacers,76,Box Score,,14412,
2015-10-31,10:30 pm,Sacramento Kings,109,Los Angeles Clippers,114,Box Score,,19060,
2015-10-31,8:00 pm,Brooklyn Nets,91,Memphis Grizzlies,101,Box Score,,16013,
2015-10-31,7:30 pm,Golden State Warriors,134,New Orleans Pelicans,120,Box Score,,18406,
2015-10-31,10:00 pm,Phoenix Suns,101,Portland Trail Blazers,90,Box Score,,17906,
2015-10-31,7:00 pm,New York Knicks,117,Washington Wizards,110,Box Score,,20356,
2015-11-01,7:00 pm,Denver Nuggets,93,Oklahoma City Thunder,117,Box Score,,18203,
2015-11-01,6:00 pm,Milwaukee Bucks,87,Toronto Raptors,106,Box Score,,19800,
2015-11-01,2:00 pm,Atlanta Hawks,94,Charlotte Hornets,92,Box Score,,18691,
2015-11-01,7:00 pm,Orlando Magic,87,Chicago Bulls,92,Box Score,,21585,
2015-11-01,6:00 pm,Houston Rockets,89,Miami Heat,109,Box Score,,19600,
2015-11-01,9:30 pm,Dallas Mavericks,103,Los Angeles Lakers,93,Box Score,,18997,
2015-11-01,3:30 pm,San Antonio Spurs,95,Boston Celtics,87,Box Score,,17461,
2015-11-02,7:30 pm,Milwaukee Bucks,103,Brooklyn Nets,96,Box Score,,12576,
2015-11-02,10:30 pm,Memphis Grizzlies,69,Golden State Warriors,119,Box Score,,19596,
2015-11-02,8:00 pm,Oklahoma City Thunder,105,Houston Rockets,110,Box Score,,17224,
2015-11-02,10:30 pm,Phoenix Suns,96,Los Angeles Clippers,102,Box Score,,19060,
2015-11-02,8:00 pm,Portland Trail Blazers,106,Minnesota Timberwolves,101,Box Score,,18903,
2015-11-02,7:30 pm,San Antonio Spurs,94,New York Knicks,84,Box Score,,19812,
2015-11-02,7:00 pm,Cleveland Cavaliers,107,Philadelphia 76ers,100,Box Score,,18094,
2015-11-03,7:00 pm,Chicago Bulls,105,Charlotte Hornets,130,Box Score,,15136,
2015-11-03,8:30 pm,Toronto Raptors,102,Dallas Mavericks,91,Box Score,,20034,
2015-11-03,7:30 pm,Indiana Pacers,94,Detroit Pistons,82,Box Score,,13325,
2015-11-03,10:30 pm,Denver Nuggets,120,Los Angeles Lakers,109,Box Score,,18997,
2015-11-03,7:30 pm,Atlanta Hawks,98,Miami Heat,92,Box Score,,19600,
2015-11-03,8:00 pm,Orlando Magic,103,New Orleans Pelicans,94,Box Score,,16876,
2015-11-03,10:00 pm,Memphis Grizzlies,103,Sacramento Kings,89,Box Score,,17317,
2015-11-04,7:00 pm,Boston Celtics,98,Indiana Pacers,100,Box Score,,14022,
2015-11-04,10:30 pm,Los Angeles Clippers,108,Golden State Warriors,112,Box Score,,19596,
2015-11-04,8:00 pm,Brooklyn Nets,87,Atlanta Hawks,101,Box Score,,14044,
2015-11-04,8:00 pm,New York Knicks,86,Cleveland Cavaliers,96,Box Score,,20562,
2015-11-04,8:00 pm,Orlando Magic,114,Houston Rockets,119,Box Score,OT,16735,
2015-11-04,9:00 pm,Sacramento Kings,97,Phoenix Suns,118,Box Score,,16497,
2015-11-04,8:00 pm,Philadelphia 76ers,87,Milwaukee Bucks,91,Box Score,,12437,
2015-11-04,9:00 pm,Portland Trail Blazers,108,Utah Jazz,92,Box Score,,19911,
2015-11-04,7:00 pm,San Antonio Spurs,99,Washington Wizards,102,Box Score,,17721,
2015-11-04,8:00 pm,Toronto Raptors,103,Oklahoma City Thunder,98,Box Score,,18203,
2015-11-05,8:00 pm,Oklahoma City Thunder,98,Chicago Bulls,104,Box Score,,21861,
2015-11-05,8:30 pm,Charlotte Hornets,108,Dallas Mavericks,94,Box Score,,19635,
2015-11-05,9:00 pm,Utah Jazz,96,Denver Nuggets,84,Box Score,,9906,
2015-11-05,8:00 pm,Miami Heat,96,Minnesota Timberwolves,84,Box Score,,11794,
2015-11-05,10:30 pm,Memphis Grizzlies,96,Portland Trail Blazers,115,Box Score,,19393,
2015-11-06,10:30 pm,Denver Nuggets,104,Golden State Warriors,119,Box Score,,19596,
2015-11-06,7:30 pm,Los Angeles Lakers,104,Brooklyn Nets,98,Box Score,,17732,
2015-11-06,8:00 pm,Miami Heat,87,Indiana Pacers,90,Box Score,,16914,
2015-11-06,7:30 pm,Washington Wizards,98,Boston Celtics,118,Box Score,,18624,
2015-11-06,7:30 pm,Philadelphia 76ers,102,Cleveland Cavaliers,108,Box Score,,20562,
2015-11-06,9:30 pm,Detroit Pistons,100,Phoenix Suns,92,Box Score,,16676,
2015-11-06,7:00 pm,Toronto Raptors,87,Orlando Magic,92,Box Score,,16578,
2015-11-06,7:30 pm,Milwaukee Bucks,99,New York Knicks,92,Box Score,,19812,
2015-11-06,8:00 pm,Atlanta Hawks,121,New Orleans Pelicans,115,Box Score,,16983,
2015-11-06,10:30 pm,Houston Rockets,116,Sacramento Kings,110,Box Score,,16983,
2015-11-07,10:30 pm,Houston Rockets,109,Los Angeles Clippers,105,Box Score,,19361,
2015-11-07,8:30 pm,Brooklyn Nets,86,Milwaukee Bucks,94,Box Score,,15228,
2015-11-07,7:00 pm,Orlando Magic,105,Philadelphia 76ers,97,Box Score,,15207,
2015-11-07,10:00 pm,Golden State Warriors,103,Sacramento Kings,94,Box Score,,17317,
2015-11-07,8:30 pm,Charlotte Hornets,94,San Antonio Spurs,114,Box Score,,18418,
2015-11-07,9:00 pm,Memphis Grizzlies,79,Utah Jazz,89,Box Score,,19456,
2015-11-07,7:30 pm,Washington Wizards,99,Atlanta Hawks,114,Box Score,,18047,
2015-11-07,6:00 pm,Minnesota Timberwolves,102,Chicago Bulls,93,Box Score,OT,21988,
2015-11-07,8:30 pm,New Orleans Pelicans,98,Dallas Mavericks,107,Box Score,,20454,
2015-11-08,3:30 pm,Indiana Pacers,97,Cleveland Cavaliers,101,Box Score,,20562,
2015-11-08,6:00 pm,Toronto Raptors,76,Miami Heat,96,Box Score,,19600,
2015-11-08,3:30 pm,Los Angeles Lakers,95,New York Knicks,99,Box Score,,19812,
2015-11-08,7:00 pm,Phoenix Suns,103,Oklahoma City Thunder,124,Box Score,,18203,
2015-11-08,9:00 pm,Detroit Pistons,120,Portland Trail Blazers,103,Box Score,,19393,
2015-11-09,10:30 pm,Memphis Grizzlies,92,Los Angeles Clippers,94,Box Score,,19060,
2015-11-09,8:00 pm,Minnesota Timberwolves,117,Atlanta Hawks,107,Box Score,,12016,
2015-11-09,7:00 pm,Chicago Bulls,111,Philadelphia 76ers,88,Box Score,,13879,
2015-11-09,10:00 pm,San Antonio Spurs,106,Sacramento Kings,88,Box Score,,17317,
2015-11-09,7:00 pm,Orlando Magic,84,Indiana Pacers,97,Box Score,,13104,
2015-11-09,9:00 pm,Portland Trail Blazers,104,Denver Nuggets,108,Box Score,,9153,
2015-11-09,10:30 pm,Detroit Pistons,95,Golden State Warriors,109,Box Score,,19596,
2015-11-10,7:00 pm,Utah Jazz,114,Cleveland Cavaliers,118,Box Score,,20562,
2015-11-10,7:30 pm,Los Angeles Lakers,88,Miami Heat,101,Box Score,,19825,
2015-11-10,8:00 pm,Boston Celtics,99,Milwaukee Bucks,83,Box Score,,11822,
2015-11-10,8:00 pm,Charlotte Hornets,104,Minnesota Timberwolves,95,Box Score,,14722,
2015-11-10,8:00 pm,Dallas Mavericks,105,New Orleans Pelicans,120,Box Score,,17128,
2015-11-10,7:30 pm,New York Knicks,111,Toronto Raptors,109,Box Score,,19800,
2015-11-10,7:00 pm,Oklahoma City Thunder,125,Washington Wizards,101,Box Score,,20356,
2015-11-11,7:30 pm,Indiana Pacers,102,Boston Celtics,91,Box Score,,17879,
2015-11-11,7:00 pm,New York Knicks,93,Charlotte Hornets,95,Box Score,,16643,
2015-11-11,8:00 pm,Los Angeles Clippers,108,Dallas Mavericks,118,Box Score,,19805,
2015-11-11,8:00 pm,New Orleans Pelicans,98,Atlanta Hawks,106,Box Score,,15597,
2015-11-11,9:00 pm,Milwaukee Bucks,102,Denver Nuggets,103,Box Score,,9403,
2015-11-11,8:00 pm,Brooklyn Nets,106,Houston Rockets,98,Box Score,,18155,
2015-11-11,10:30 pm,San Antonio Spurs,113,Portland Trail Blazers,101,Box Score,,19393,
2015-11-11,8:00 pm,Golden State Warriors,100,Memphis Grizzlies,84,Box Score,,18119,
2015-11-11,7:00 pm,Los Angeles Lakers,99,Orlando Magic,101,Box Score,,18846,
2015-11-11,7:00 pm,Toronto Raptors,119,Philadelphia 76ers,103,Box Score,,12744,
2015-11-11,10:00 pm,Detroit Pistons,92,Sacramento Kings,101,Box Score,,17317,
2015-11-12,7:30 pm,Utah Jazz,91,Miami Heat,92,Box Score,,19600,
2015-11-12,8:00 pm,Golden State Warriors,129,Minnesota Timberwolves,116,Box Score,,16130,
2015-11-12,10:30 pm,Los Angeles Clippers,104,Phoenix Suns,118,Box Score,,17204,
2015-11-13,7:30 pm,New Orleans Pelicans,81,Toronto Raptors,100,Box Score,,19800,
2015-11-13,8:00 pm,Charlotte Hornets,97,Chicago Bulls,102,Box Score,,21749,
2015-11-13,8:30 pm,Los Angeles Lakers,82,Dallas Mavericks,90,Box Score,,20260,
2015-11-13,9:00 pm,Houston Rockets,98,Denver Nuggets,107,Box Score,,16113,
2015-11-13,8:00 pm,Portland Trail Blazers,100,Memphis Grizzlies,101,Box Score,,16919,
2015-11-13,10:00 pm,Brooklyn Nets,109,Sacramento Kings,111,Box Score,,17131,
2015-11-13,7:30 pm,Cleveland Cavaliers,90,New York Knicks,84,Box Score,,19812,
2015-11-13,8:00 pm,Philadelphia 76ers,85,Oklahoma City Thunder,102,Box Score,,18203,
2015-11-13,7:00 pm,Utah Jazz,93,Orlando Magic,102,Box Score,,16709,
2015-11-13,7:30 pm,Atlanta Hawks,93,Boston Celtics,106,Box Score,,17138,
2015-11-13,7:00 pm,Minnesota Timberwolves,103,Indiana Pacers,107,Box Score,,16797,
2015-11-14,7:00 pm,Orlando Magic,99,Washington Wizards,108,Box Score,,18311,
2015-11-14,8:00 pm,Dallas Mavericks,110,Houston Rockets,98,Box Score,,18231,
2015-11-14,8:30 pm,Cleveland Cavaliers,105,Milwaukee Bucks,108,Box Score,2OT,18717,
2015-11-14,8:30 pm,Philadelphia 76ers,83,San Antonio Spurs,92,Box Score,,18418,
2015-11-14,9:00 pm,Denver Nuggets,81,Phoenix Suns,105,Box Score,,16722,
2015-11-14,10:30 pm,Brooklyn Nets,99,Golden State Warriors,107,Box Score,OT,19596,
2015-11-14,3:30 pm,Detroit Pistons,96,Los Angeles Clippers,101,Box Score,,19060,
2015-11-15,6:00 pm,Utah Jazz,97,Atlanta Hawks,96,Box Score,,14436,
2015-11-15,5:00 pm,Portland Trail Blazers,94,Charlotte Hornets,106,Box Score,,15317,
2015-11-15,9:30 pm,Detroit Pistons,85,Los Angeles Lakers,97,Box Score,,18997,
2015-11-15,3:30 pm,Memphis Grizzlies,114,Minnesota Timberwolves,106,Box Score,,12086,
2015-11-15,12:00 pm,New Orleans Pelicans,87,New York Knicks,95,Box Score,,19812,
2015-11-15,7:00 pm,Boston Celtics,100,Oklahoma City Thunder,85,Box Score,,18203,
2015-11-15,9:00 pm,Toronto Raptors,101,Sacramento Kings,107,Box Score,,17006,
2015-11-16,8:00 pm,Boston Celtics,111,Houston Rockets,95,Box Score,,17005,
2015-11-16,8:00 pm,Indiana Pacers,95,Chicago Bulls,96,Box Score,,21660,
2015-11-16,8:00 pm,Oklahoma City Thunder,114,Memphis Grizzlies,122,Box Score,,17270,
2015-11-16,7:00 pm,Dallas Mavericks,92,Philadelphia 76ers,86,Box Score,,11555,
2015-11-16,8:30 pm,Portland Trail Blazers,80,San Antonio Spurs,93,Box Score,,18418,
2015-11-16,9:00 pm,Los Angeles Lakers,101,Phoenix Suns,120,Box Score,,18055,
2015-11-17,7:30 pm,Atlanta Hawks,88,Brooklyn Nets,90,Box Score,,12241,
2015-11-17,7:30 pm,Cleveland Cavaliers,99,Detroit Pistons,104,Box Score,,18442,
2015-11-17,10:30 pm,Toronto Raptors,110,Golden State Warriors,115,Box Score,,19596,
2015-11-17,7:30 pm,Minnesota Timberwolves,103,Miami Heat,91,Box Score,,19600,
2015-11-17,8:00 pm,Denver Nuggets,115,New Orleans Pelicans,98,Box Score,,17269,
2015-11-17,7:30 pm,Charlotte Hornets,94,New York Knicks,102,Box Score,,19812,
2015-11-17,7:00 pm,Milwaukee Bucks,86,Washington Wizards,115,Box Score,,15485,
2015-11-18,8:00 pm,New Orleans Pelicans,103,Oklahoma City Thunder,110,Box Score,,18203,
2015-11-18,7:30 pm,Dallas Mavericks,106,Boston Celtics,102,Box Score,,17262,
2015-11-18,7:00 pm,Brooklyn Nets,111,Charlotte Hornets,116,Box Score,,14040,
2015-11-18,8:00 pm,Portland Trail Blazers,103,Houston Rockets,108,Box Score,OT,17107,
2015-11-18,8:00 pm,Sacramento Kings,97,Atlanta Hawks,103,Box Score,,13008,
2015-11-18,7:00 pm,Minnesota Timberwolves,101,Orlando Magic,104,Box Score,OT,16048,
2015-11-18,7:00 pm,Indiana Pacers,112,Philadelphia 76ers,85,Box Score,,11080,
2015-11-18,10:30 pm,Chicago Bulls,103,Phoenix Suns,97,Box Score,,17377,
2015-11-18,9:00 pm,Toronto Raptors,89,Utah Jazz,93,Box Score,,18741,
2015-11-18,8:30 pm,Denver Nuggets,98,San Antonio Spurs,109,Box Score,,18418,
2015-11-19,8:00 pm,Milwaukee Bucks,100,Cleveland Cavaliers,115,Box Score,,20562,
2015-11-19,10:30 pm,Golden State Warriors,124,Los Angeles Clippers,117,Box Score,,19528,
2015-11-19,7:30 pm,Sacramento Kings,109,Miami Heat,116,Box Score,,19600,
2015-11-20,8:00 pm,New York Knicks,93,Oklahoma City Thunder,90,Box Score,,18203,
2015-11-20,8:00 pm,San Antonio Spurs,90,New Orleans Pelicans,104,Box Score,,16698,
2015-11-20,10:30 pm,Toronto Raptors,102,Los Angeles Lakers,91,Box Score,,18997,
2015-11-20,9:00 pm,Phoenix Suns,114,Denver Nuggets,107,Box Score,,12264,
2015-11-20,10:30 pm,Chicago Bulls,94,Golden State Warriors,106,Box Score,,19596,
2015-11-20,10:00 pm,Los Angeles Clippers,91,Portland Trail Blazers,102,Box Score,,19393,
2015-11-20,8:00 pm,Houston Rockets,84,Memphis Grizzlies,96,Box Score,,17555,
2015-11-20,8:00 pm,Detroit Pistons,96,Minnesota Timberwolves,86,Box Score,,13445,
2015-11-20,8:30 pm,Utah Jazz,93,Dallas Mavericks,102,Box Score,,20028,
2015-11-20,7:00 pm,Philadelphia 76ers,88,Charlotte Hornets,113,Box Score,,17926,
2015-11-20,7:30 pm,Brooklyn Nets,95,Boston Celtics,120,Box Score,,18361,
2015-11-21,5:00 pm,Sacramento Kings,97,Orlando Magic,91,Box Score,,16104,
2015-11-21,8:00 pm,Philadelphia 76ers,91,Miami Heat,96,Box Score,,19673,
2015-11-21,8:30 pm,Memphis Grizzlies,82,San Antonio Spurs,92,Box Score,,18418,
2015-11-21,8:00 pm,New York Knicks,107,Houston Rockets,102,Box Score,,18226,
2015-11-21,7:30 pm,Atlanta Hawks,97,Cleveland Cavaliers,109,Box Score,,20562,
2015-11-21,7:00 pm,Milwaukee Bucks,86,Indiana Pacers,123,Box Score,,17137,
2015-11-21,7:30 pm,Washington Wizards,97,Detroit Pistons,95,Box Score,,15890,
2015-11-22,6:00 pm,Boston Celtics,101,Brooklyn Nets,111,Box Score,,14866,
2015-11-22,8:00 pm,Golden State Warriors,118,Denver Nuggets,105,Box Score,,17689,
2015-11-22,3:30 pm,Toronto Raptors,91,Los Angeles Clippers,80,Box Score,,19060,
2015-11-22,9:30 pm,Portland Trail Blazers,107,Los Angeles Lakers,93,Box Score,,18997,
2015-11-22,6:00 pm,Phoenix Suns,116,New Orleans Pelicans,122,Box Score,,16680,
2015-11-22,7:00 pm,Dallas Mavericks,114,Oklahoma City Thunder,117,Box Score,,18203,
2015-11-23,7:00 pm,Sacramento Kings,122,Charlotte Hornets,127,Box Score,OT,14163,
2015-11-23,7:00 pm,Orlando Magic,103,Cleveland Cavaliers,117,Box Score,,20562,
2015-11-23,7:30 pm,New York Knicks,78,Miami Heat,95,Box Score,,19777,
2015-11-23,8:00 pm,Detroit Pistons,88,Milwaukee Bucks,109,Box Score,,12319,
2015-11-23,8:00 pm,Philadelphia 76ers,95,Minnesota Timberwolves,100,Box Score,,11382,
2015-11-23,8:30 pm,Phoenix Suns,84,San Antonio Spurs,98,Box Score,,18418,
2015-11-23,9:00 pm,Oklahoma City Thunder,111,Utah Jazz,89,Box Score,,19911,
2015-11-24,8:00 pm,Boston Celtics,97,Atlanta Hawks,121,Box Score,,18968,
2015-11-24,10:30 pm,Los Angeles Lakers,77,Golden State Warriors,111,Box Score,,19596,
2015-11-24,9:00 pm,Los Angeles Clippers,111,Denver Nuggets,94,Box Score,,13257,
2015-11-24,7:00 pm,Indiana Pacers,123,Washington Wizards,106,Box Score,,15486,
2015-11-24,10:00 pm,Chicago Bulls,93,Portland Trail Blazers,88,Box Score,,19393,
2015-11-24,8:00 pm,Dallas Mavericks,96,Memphis Grizzlies,110,Box Score,,17381,
2015-11-25,7:30 pm,Miami Heat,81,Detroit Pistons,104,Box Score,,15119,
2015-11-25,8:00 pm,Memphis Grizzlies,102,Houston Rockets,93,Box Score,,18143,
2015-11-25,8:00 pm,Sacramento Kings,129,Milwaukee Bucks,118,Box Score,,14120,
2015-11-25,7:30 pm,Philadelphia 76ers,80,Boston Celtics,84,Box Score,,17588,
2015-11-25,10:30 pm,Utah Jazz,102,Los Angeles Clippers,91,Box Score,,19060,
2015-11-25,7:00 pm,Washington Wizards,87,Charlotte Hornets,101,Box Score,,17064,
2015-11-25,8:00 pm,Atlanta Hawks,95,Minnesota Timberwolves,99,Box Score,,14289,
2015-11-25,8:30 pm,Dallas Mavericks,83,San Antonio Spurs,88,Box Score,,18418,
2015-11-25,7:30 pm,Cleveland Cavaliers,99,Toronto Raptors,103,Box Score,,20140,
2015-11-25,8:00 pm,Brooklyn Nets,99,Oklahoma City Thunder,110,Box Score,,18203,
2015-11-25,7:00 pm,New York Knicks,91,Orlando Magic,100,Box Score,,18846,
2015-11-25,9:00 pm,New Orleans Pelicans,120,Phoenix Suns,114,Box Score,,16338,
2015-11-27,10:30 pm,New Orleans Pelicans,90,Los Angeles Clippers,111,Box Score,,19162,
2015-11-27,9:00 pm,San Antonio Spurs,91,Denver Nuggets,80,Box Score,,17121,
2015-11-27,7:00 pm,Cleveland Cavaliers,95,Charlotte Hornets,90,Box Score,,19093,
2015-11-27,8:00 pm,Chicago Bulls,92,Indiana Pacers,104,Box Score,,18165,
2015-11-27,8:00 pm,Philadelphia 76ers,114,Houston Rockets,116,Box Score,,17306,
2015-11-27,7:30 pm,Washington Wizards,78,Boston Celtics,111,Box Score,,18624,
2015-11-27,7:30 pm,Miami Heat,97,New York Knicks,78,Box Score,,19812,
2015-11-27,8:00 pm,Atlanta Hawks,116,Memphis Grizzlies,101,Box Score,,17684,
2015-11-27,7:00 pm,Milwaukee Bucks,90,Orlando Magic,114,Box Score,,16317,
2015-11-27,8:00 pm,Detroit Pistons,87,Oklahoma City Thunder,103,Box Score,,18203,
2015-11-27,10:00 pm,Minnesota Timberwolves,101,Sacramento Kings,91,Box Score,,17317,
2015-11-27,9:30 pm,Golden State Warriors,135,Phoenix Suns,116,Box Score,,18055,
2015-11-28,7:30 pm,Brooklyn Nets,88,Cleveland Cavaliers,90,Box Score,,20562,
2015-11-28,8:30 pm,Denver Nuggets,81,Dallas Mavericks,92,Box Score,,20339,
2015-11-28,10:30 pm,Sacramento Kings,101,Golden State Warriors,120,Box Score,,19596,
2015-11-28,10:00 pm,Los Angeles Lakers,96,Portland Trail Blazers,108,Box Score,,20019,
2015-11-28,8:30 pm,Atlanta Hawks,88,San Antonio Spurs,108,Box Score,,18418,
2015-11-28,9:00 pm,New Orleans Pelicans,87,Utah Jazz,101,Box Score,,19911,
2015-11-28,7:00 pm,Toronto Raptors,84,Washington Wizards,82,Box Score,,16841,
2015-11-29,6:00 pm,Detroit Pistons,83,Brooklyn Nets,87,Box Score,,12823,
2015-11-29,2:00 pm,Milwaukee Bucks,82,Charlotte Hornets,87,Box Score,,14224,
2015-11-29,3:30 pm,Minnesota Timberwolves,99,Los Angeles Clippers,107,Box Score,,19060,
2015-11-29,9:30 pm,Indiana Pacers,107,Los Angeles Lakers,103,Box Score,,18997,
2015-11-29,6:00 pm,Philadelphia 76ers,84,Memphis Grizzlies,92,Box Score,,15322,
2015-11-29,7:30 pm,Houston Rockets,116,New York Knicks,111,Box Score,OT,19812,
2015-11-29,6:00 pm,Boston Celtics,91,Orlando Magic,110,Box Score,,16209,
2015-11-29,6:00 pm,Phoenix Suns,107,Toronto Raptors,102,Box Score,,19800,
2015-11-30,8:00 pm,Oklahoma City Thunder,100,Atlanta Hawks,106,Box Score,,17768,
2015-11-30,8:00 pm,San Antonio Spurs,89,Chicago Bulls,92,Box Score,,21909,
2015-11-30,7:30 pm,Houston Rockets,105,Detroit Pistons,116,Box Score,,14818,
2015-11-30,10:30 pm,Portland Trail Blazers,87,Los Angeles Clippers,102,Box Score,,19060,
2015-11-30,7:30 pm,Boston Celtics,105,Miami Heat,95,Box Score,,19600,
2015-11-30,8:00 pm,Denver Nuggets,74,Milwaukee Bucks,92,Box Score,,10187,
2015-11-30,10:00 pm,Dallas Mavericks,98,Sacramento Kings,112,Box Score,,16937,
2015-11-30,9:00 pm,Golden State Warriors,106,Utah Jazz,103,Box Score,,19911,
2015-12-01,7:30 pm,Phoenix Suns,91,Brooklyn Nets,94,Box Score,,12787,
2015-12-01,7:00 pm,Washington Wizards,97,Cleveland Cavaliers,85,Box Score,,20562,
2015-12-01,8:00 pm,Orlando Magic,96,Minnesota Timberwolves,93,Box Score,,10694,
2015-12-01,8:00 pm,Memphis Grizzlies,113,New Orleans Pelicans,104,Box Score,,16020,
2015-12-01,7:00 pm,Los Angeles Lakers,91,Philadelphia 76ers,103,Box Score,,20510,
2015-12-01,10:00 pm,Dallas Mavericks,115,Portland Trail Blazers,112,Box Score,OT,19393,
2015-12-02,7:30 pm,Philadelphia 76ers,87,New York Knicks,99,Box Score,,19812,
2015-12-02,8:30 pm,Milwaukee Bucks,70,San Antonio Spurs,95,Box Score,,18418,
2015-12-02,8:00 pm,New Orleans Pelicans,101,Houston Rockets,108,Box Score,,17339,
2015-12-02,8:00 pm,Denver Nuggets,90,Chicago Bulls,99,Box Score,,21349,
2015-12-02,7:00 pm,Los Angeles Lakers,108,Washington Wizards,104,Box Score,,20356,
2015-12-02,8:00 pm,Toronto Raptors,96,Atlanta Hawks,86,Box Score,,12559,
2015-12-02,10:30 pm,Indiana Pacers,103,Los Angeles Clippers,91,Box Score,,19060,
2015-12-02,7:30 pm,Phoenix Suns,122,Detroit Pistons,127,Box Score,OT,13985,
2015-12-02,7:00 pm,Golden State Warriors,116,Charlotte Hornets,99,Box Score,,19542,
2015-12-03,9:30 pm,San Antonio Spurs,103,Memphis Grizzlies,83,Box Score,,17013,
2015-12-03,7:00 pm,Oklahoma City Thunder,95,Miami Heat,97,Box Score,,19600,
2015-12-03,10:00 pm,Indiana Pacers,111,Portland Trail Blazers,123,Box Score,,19206,
2015-12-03,10:00 pm,Boston Celtics,114,Sacramento Kings,97,Box Score,,18660,at Mexico City Mexico
2015-12-03,7:30 pm,Denver Nuggets,106,Toronto Raptors,105,Box Score,,19800,
2015-12-03,9:00 pm,Orlando Magic,103,Utah Jazz,94,Box Score,,19247,
2015-12-04,7:30 pm,Milwaukee Bucks,95,Detroit Pistons,102,Box Score,,16963,
2015-12-04,8:30 pm,Houston Rockets,100,Dallas Mavericks,96,Box Score,,20339,
2015-12-04,8:00 pm,Los Angeles Lakers,87,Atlanta Hawks,100,Box Score,,19051,
2015-12-04,7:00 pm,Phoenix Suns,106,Washington Wizards,109,Box Score,,17255,
2015-12-04,7:00 pm,Brooklyn Nets,91,New York Knicks,108,Box Score,,19812,
2015-12-04,9:30 pm,Cleveland Cavaliers,108,New Orleans Pelicans,114,Box Score,OT,17906,
2015-12-05,8:00 pm,Sacramento Kings,113,Houston Rockets,120,Box Score,,17318,
2015-12-05,8:00 pm,Cleveland Cavaliers,84,Miami Heat,99,Box Score,,19600,
2015-12-05,8:00 pm,Charlotte Hornets,102,Chicago Bulls,96,Box Score,,21770,
2015-12-05,8:30 pm,New York Knicks,91,Milwaukee Bucks,106,Box Score,,16223,
2015-12-05,10:30 pm,Orlando Magic,101,Los Angeles Clippers,103,Box Score,,19146,
